ahe,female,ne,midwest,south,west,race,yrseduc,ba,hsdipl,age
10.75404835,1,1,0,0,0,1,18,1,1,49
10.3418808,0,1,0,0,0,1,16,1,1,28
18.18181801,0,1,0,0,0,1,12,0,1,45
20.87912178,1,1,0,0,0,1,12,0,1,41
17.94871712,0,1,0,0,0,1,18,1,1,54
13.46153831,1,1,0,0,0,1,19,1,1,43
24.51922989,1,1,0,0,0,1,13,0,1,58
14.42307663,0,1,0,0,0,1,12,0,1,41
9.615385056,1,1,0,0,0,1,12,0,1,33
12.5,0,1,0,0,0,1,13,0,1,27
16.15384674,0,1,0,0,0,1,12,0,1,42
11.15384579,1,1,0,0,0,1,14,0,1,30
9.575922966,0,1,0,0,0,1,16,1,1,29
4.516994476,1,1,0,0,0,1,16,1,1,29
12.5,0,1,0,0,0,1,12,0,1,31
17.30769157,0,1,0,0,0,1,14,0,1,40
19.23077011,1,1,0,0,0,1,16,1,1,46
20.19230843,0,1,0,0,0,1,16,1,1,51
33.65384674,0,1,0,0,0,1,19,1,1,59
6.25,0,1,0,0,0,1,14,0,1,52
8.17307663,0,1,0,0,0,1,12,0,1,26
11.88811207,1,1,0,0,0,1,14,0,1,60
19.23077011,1,1,0,0,0,1,16,1,1,47
6.490384579,0,1,0,0,0,1,12,0,1,28
3.423076868,1,1,0,0,0,1,16,1,1,38
7.794871807,0,1,0,0,0,1,16,1,1,44
10.8125,0,1,0,0,0,1,12,0,1,47
15.28599644,1,1,0,0,0,1,13,0,1,45
12.01923084,0,1,0,0,0,1,12,0,1,27
17.30769157,0,1,0,0,0,1,12,0,1,36
19.23077011,0,1,0,0,0,1,12,0,1,64
8.265384674,1,1,0,0,0,1,12,0,1,61
15.28846169,1,1,0,0,0,1,18,1,1,55
12.82051277,0,1,0,0,0,1,19,1,1,32
15.14519215,1,1,0,0,0,1,12,0,1,43
16.19433212,1,1,0,0,0,1,12,0,1,39
6.04395628,1,1,0,0,0,1,12,0,1,58
11.25,0,1,0,0,0,1,13,0,1,31
5.125,0,1,0,0,0,1,16,1,1,48
12.2863245,0,1,0,0,0,1,13,0,1,47
9.086538315,1,1,0,0,0,1,14,0,1,39
27.88461494,0,1,0,0,0,1,12,0,1,47
9.615385056,1,1,0,0,0,1,12,0,1,45
17.78846169,0,1,0,0,0,1,13,0,1,40
15.86538506,1,1,0,0,0,1,12,0,1,38
9.829059601,0,1,0,0,0,1,12,0,1,45
13.94230747,1,1,0,0,0,1,14,0,1,45
18.58974266,0,1,0,0,0,1,12,0,1,37
19.23077011,1,1,0,0,0,1,18,1,1,43
11.36538506,0,1,0,0,0,1,12,0,1,29
10.68376064,1,1,0,0,0,1,13,0,1,27
16.82692337,1,1,0,0,0,1,14,0,1,39
10.7334528,0,1,0,0,0,1,10,0,0,44
26.15384674,0,1,0,0,0,1,16,1,1,51
9.615385056,0,1,0,0,0,1,16,1,1,44
14.42307663,1,1,0,0,0,1,16,1,1,36
7.612179279,1,1,0,0,0,1,14,0,1,46
14.36965847,1,1,0,0,0,1,16,1,1,36
6.951922894,0,1,0,0,0,1,12,0,1,38
10,0,1,0,0,0,1,12,0,1,37
7.692307472,1,1,0,0,0,1,14,0,1,35
7.240384579,1,1,0,0,0,1,16,1,1,58
20.2429142,1,1,0,0,0,1,16,1,1,38
19.23077011,1,1,0,0,0,1,16,1,1,42
11.53846169,0,1,0,0,0,1,12,0,1,44
11.32478619,1,1,0,0,0,1,13,0,1,47
13.67521381,1,1,0,0,0,1,13,0,1,37
11.92307663,0,1,0,0,0,1,14,0,1,29
5.555555344,1,1,0,0,0,1,14,0,1,29
23.55769157,0,1,0,0,0,1,14,0,1,42
38.94230652,1,1,0,0,0,1,12,0,1,37
23.35164833,0,1,0,0,0,1,13,0,1,46
17.30769157,1,1,0,0,0,1,16,1,1,37
12.01923084,0,1,0,0,0,1,13,0,1,57
10.94615364,0,1,0,0,0,1,12,0,1,55
6.43927145,1,1,0,0,0,1,12,0,1,50
18.75,0,1,0,0,0,1,12,0,1,56
24.03894234,0,1,0,0,0,1,12,0,1,63
11.53846169,0,1,0,0,0,1,12,0,1,39
24.42827415,1,1,0,0,0,1,14,0,1,50
15.06853104,0,1,0,0,0,1,14,0,1,40
15.33028889,1,1,0,0,0,1,12,0,1,39
9.42307663,1,1,0,0,0,1,16,1,1,25
27.56682777,1,1,0,0,0,1,12,0,1,41
10.69999981,1,1,0,0,0,1,12,0,1,42
19.23077011,0,1,0,0,0,1,13,0,1,41
13.46153831,0,1,0,0,0,1,16,1,1,35
10.61826897,1,1,0,0,0,1,12,0,1,50
16.59230804,0,1,0,0,0,1,12,0,1,50
15.03376102,0,1,0,0,0,1,12,0,1,41
39.23077011,0,1,0,0,0,1,16,1,1,48
6.758241653,1,1,0,0,0,1,12,0,0,55
7.591093063,1,1,0,0,0,1,13,0,1,34
24.35048103,0,1,0,0,0,1,13,0,1,54
13.46153831,0,1,0,0,0,1,9,0,0,59
11,1,1,0,0,0,1,9,0,0,60
11.72500038,1,1,0,0,0,1,14,0,1,42
10,0,1,0,0,0,1,14,0,1,46
10.57692337,0,1,0,0,0,1,12,0,1,35
20.03205109,0,1,0,0,0,1,12,0,1,41
14.02243614,1,1,0,0,0,1,14,0,1,39
16.63965225,0,1,0,0,0,1,13,0,1,57
14.42307663,0,1,0,0,0,1,12,0,1,40
10.29526043,1,1,0,0,0,1,16,1,1,26
15.38461494,0,1,0,0,0,1,12,0,1,34
17.30288506,0,1,0,0,0,1,12,0,1,50
7.783882618,1,1,0,0,0,1,12,0,1,42
9.15750885,0,1,0,0,0,1,12,0,1,63
18.04029274,1,1,0,0,0,1,16,1,1,35
8.547008514,1,1,0,0,0,1,14,0,1,36
9.294230461,0,1,0,0,0,1,12,0,1,42
18.93509674,0,1,0,0,0,1,16,1,1,32
15.65295124,1,1,0,0,0,1,18,1,1,36
16.82692337,0,1,0,0,0,1,14,0,1,59
7.142857075,0,1,0,0,0,1,13,0,1,26
16.48351669,0,1,0,0,0,1,19,1,1,56
5.288461685,1,1,0,0,0,1,13,0,1,56
10.81730747,0,1,0,0,0,1,12,0,1,62
12.08791256,1,1,0,0,0,1,14,0,1,43
12.96153831,0,1,0,0,0,1,13,0,1,44
12.00923061,0,1,0,0,0,1,12,0,1,44
9.582478523,1,1,0,0,0,1,14,0,1,43
7.33755064,1,1,0,0,0,1,12,0,1,52
15.91346169,0,1,0,0,0,1,14,0,1,53
12.08791256,1,1,0,0,0,1,13,0,1,37
29.23077011,0,1,0,0,0,1,19,1,1,55
22.72727203,0,1,0,0,0,1,12,0,1,56
7.211538315,1,1,0,0,0,1,12,0,1,53
7.692307472,1,1,0,0,0,1,16,1,1,30
14.87422085,1,1,0,0,0,1,12,0,1,56
6.410256386,0,1,0,0,0,1,16,1,1,51
12,0,1,0,0,0,1,12,0,1,46
16.82692337,1,1,0,0,0,1,12,0,1,59
9.440559387,0,1,0,0,0,1,13,0,1,50
15.86538506,0,1,0,0,0,1,12,0,1,53
10.81730747,1,1,0,0,0,1,13,0,1,29
9.134614944,0,1,0,0,0,1,12,0,1,33
13.67521381,0,1,0,0,0,1,13,0,1,31
14.42307663,0,1,0,0,0,1,12,0,1,42
10.68376064,0,1,0,0,0,1,18,1,1,34
8.07692337,1,1,0,0,0,1,12,0,1,55
13.46153831,1,1,0,0,0,1,12,0,1,45
13.46153831,0,1,0,0,0,1,16,1,1,46
11.53846169,0,1,0,0,0,1,14,0,1,45
21.15384674,1,1,0,0,0,1,14,0,1,47
10,0,1,0,0,0,1,12,0,1,41
12.05576897,0,1,0,0,0,1,12,0,1,50
12.5,0,1,0,0,0,1,12,0,1,32
23.07692337,0,1,0,0,0,1,12,0,1,33
11.87084484,0,1,0,0,0,1,16,1,1,30
10.83333302,0,1,0,0,0,1,14,0,1,45
14.9572649,1,1,0,0,0,1,12,0,1,42
13.36538506,0,1,0,0,0,1,12,0,1,52
5.473372936,0,1,0,0,0,1,12,0,1,42
3.846153736,1,1,0,0,0,1,13,0,1,33
30.44871712,0,1,0,0,0,1,20,1,1,31
22.48605728,0,1,0,0,0,1,14,0,1,41
38.46154022,0,1,0,0,0,1,16,1,1,34
10.6275301,0,1,0,0,0,1,12,0,1,45
9.615385056,1,1,0,0,0,1,12,0,1,49
9.615385056,1,1,0,0,0,1,14,0,1,28
14.42307663,1,1,0,0,0,1,13,0,1,60
9.875259399,1,1,0,0,0,1,13,0,1,27
9.615385056,1,1,0,0,0,1,16,1,1,27
16.02564049,0,1,0,0,0,1,13,0,1,46
26.44230843,1,1,0,0,0,1,18,1,1,41
19.23077011,0,1,0,0,0,1,12,0,1,55
11.53846169,1,1,0,0,0,1,16,1,1,48
20.67307663,0,1,0,0,0,1,16,1,1,53
24,1,1,0,0,0,1,16,1,1,43
9.615385056,1,1,0,0,0,1,19,1,1,55
12.54901981,0,1,0,0,0,1,12,0,1,32
7,1,1,0,0,0,1,12,0,1,29
34.61538315,1,1,0,0,0,1,16,1,1,46
6.730769157,0,1,0,0,0,1,9,0,0,25
6.944444656,1,1,0,0,0,1,12,0,1,34
10.09615421,0,1,0,0,0,1,12,0,1,35
15.86538506,0,1,0,0,0,1,16,1,1,35
7.959401608,1,1,0,0,0,1,13,0,1,37
17.30769157,0,1,0,0,0,1,14,0,1,38
26.44230843,1,1,0,0,0,1,18,1,1,44
14.90384579,0,1,0,0,0,1,13,0,1,46
18.26922989,0,1,0,0,0,4,16,1,1,54
15.38461494,1,1,0,0,0,1,18,1,1,51
20.14652061,0,1,0,0,0,1,14,0,1,35
12.5,1,1,0,0,0,1,16,1,1,35
17.54807663,0,1,0,0,0,1,12,0,1,27
16.82692337,0,1,0,0,0,1,12,0,1,30
19.66783142,0,1,0,0,0,1,13,0,1,49
12.23776245,0,1,0,0,0,1,10,0,0,51
17.64422989,0,1,0,0,0,1,12,0,1,30
19.71153831,1,1,0,0,0,1,16,1,1,30
9.615385056,0,1,0,0,0,1,12,0,1,45
4.807692528,1,1,0,0,0,1,11,0,0,35
7.211538315,0,1,0,0,0,1,11,0,0,38
16.1517086,0,1,0,0,0,1,18,1,1,32
17.30769157,1,1,0,0,0,1,16,1,1,56
8.547008514,0,1,0,0,0,1,14,0,1,46
16.34615326,0,1,0,0,0,1,16,1,1,44
20.67307663,1,1,0,0,0,1,12,0,1,43
11.05769253,0,1,0,0,0,1,12,0,1,48
24.21009636,0,1,0,0,0,1,12,0,1,52
12.98076916,0,1,0,0,0,1,13,0,1,34
16.82692337,0,1,0,0,0,1,12,0,1,37
28.84615326,0,1,0,0,0,1,20,1,1,55
16.20164871,1,1,0,0,0,1,12,0,1,59
11.05769253,0,1,0,0,0,1,12,0,1,47
14.42307663,1,1,0,0,0,1,14,0,1,39
8.012820244,0,1,0,0,0,1,12,0,1,44
20.19230843,0,1,0,0,0,1,12,0,1,49
7.932692528,0,1,0,0,0,1,12,0,1,54
9.615385056,1,1,0,0,0,1,12,0,1,26
9.245562553,0,1,0,0,0,1,16,1,1,40
10.82259655,1,1,0,0,0,1,12,0,1,32
15.41442299,0,1,0,0,0,1,12,0,1,31
10.65088749,0,1,0,0,0,1,16,1,1,31
27.77777863,1,1,0,0,0,1,14,0,1,29
8.503401756,0,1,0,0,0,1,12,0,1,55
23.55769157,0,1,0,0,0,1,12,0,1,42
5.576922894,1,1,0,0,0,1,12,0,1,37
14.23076916,1,1,0,0,0,1,16,1,1,48
26.55677605,0,1,0,0,0,1,13,0,1,40
25,0,1,0,0,0,1,16,1,1,43
8.413461685,0,1,0,0,0,1,6,0,0,53
19.71153831,0,1,0,0,0,1,12,0,1,38
22.43589783,0,1,0,0,0,1,16,1,1,56
17.78846169,0,1,0,0,0,1,12,0,1,61
21.63461494,0,1,0,0,0,1,16,1,1,52
10,0,1,0,0,0,1,13,0,1,48
4.807692528,1,1,0,0,0,1,12,0,1,27
12.5,1,1,0,0,0,1,13,0,1,55
16.7255249,0,1,0,0,0,4,12,0,1,39
12.01923084,0,1,0,0,0,1,12,0,1,41
26.04166603,0,1,0,0,0,1,16,1,1,37
17.58241844,0,1,0,0,0,1,16,1,1,27
13.24786282,1,1,0,0,0,1,16,1,1,27
9.615385056,0,1,0,0,0,1,12,0,1,46
16.34615326,0,1,0,0,0,1,12,0,1,42
12.01923084,1,1,0,0,0,1,14,0,1,38
7.672161102,1,1,0,0,0,1,13,0,1,48
7.692307472,0,1,0,0,0,1,12,0,1,38
9.134614944,1,1,0,0,0,1,13,0,1,47
18.80341911,1,1,0,0,0,1,16,1,1,46
20.67307663,0,1,0,0,0,1,16,1,1,45
32.69230652,0,1,0,0,0,1,13,0,1,48
18.75,0,1,0,0,0,1,12,0,1,51
19.71153831,1,1,0,0,0,1,14,0,1,50
12.01923084,0,1,0,0,0,1,11,0,0,57
16.82692337,0,1,0,0,0,1,16,1,1,51
14.42307663,0,1,0,0,0,1,12,0,1,44
5.723443031,0,1,0,0,0,1,12,0,1,47
20.17980766,0,1,0,0,0,1,12,0,1,37
25,0,1,0,0,0,1,12,0,1,46
12.82051277,1,1,0,0,0,1,16,1,1,31
15.38461494,0,1,0,0,0,1,12,0,1,37
7.211538315,1,1,0,0,0,1,12,0,1,38
6.009615421,0,1,0,0,0,1,12,0,0,47
6.009615421,1,1,0,0,0,1,11,0,0,52
3.846153736,1,1,0,0,0,1,8,0,0,55
11.07692337,0,1,0,0,0,1,14,0,1,34
15.86538506,1,1,0,0,0,1,16,1,1,43
7.163461685,1,1,0,0,0,1,12,0,1,29
15.38461494,0,1,0,0,0,1,12,0,1,56
12.82051277,1,1,0,0,0,1,13,0,1,45
21.4285717,1,1,0,0,0,1,18,1,1,51
12.91208744,0,1,0,0,0,1,13,0,1,51
7.51836729,1,1,0,0,0,1,16,1,1,41
14.42307663,0,1,0,0,0,1,12,0,1,45
20.19230843,0,1,0,0,0,1,12,0,1,61
