,<CLOSE>,indicator,Общая стоимость портфеля
2011-12-09,87.09,0.0,5000.0
2012-03-20,121.0,100.0,5000.0
2012-03-21,169.4,24.305555555555554,5000.0
2012-03-22,101.64,34.357894736842105,5000.0
2012-03-23,98.9,7.5,5000.0
2012-03-26,59.34,17.77863379558295,5000.0
2012-03-27,51.0,7.405329593267883,5000.0
2012-03-28,51.9,6.666666666666666,5000.0
2012-03-29,43.0,6.666666666666666,5000.0
2012-03-30,35.5,25.142857142857146,5000.0
2012-04-02,46.39,9.03409090909091,5000.0
2012-04-03,53.3,8.653846153846152,5000.0
2012-04-04,44.71,6.363636363636362,5000.0
2012-04-05,42.0,8.181818181818182,5000.0
2012-04-06,40.41,4.583333333333333,5000.0
2012-04-09,36.62,5.0,5000.0
2012-04-10,36.99,5.7142857142857135,5000.0
2012-04-11,41.6,14.375,5000.0
2012-04-12,39.64,0.0,5000.0
2012-04-13,40.69,0.0,5000.0
2012-04-16,38.0,0.0,5000.0
2012-04-17,36.99,50.0,5000.0
2012-04-18,35.33,0.0,5000.0
2012-04-19,33.0,0.0,5000.0
2012-04-20,32.0,23.333333333333336,5000.0
2012-04-23,30.59,0.0,5000.0
2012-04-24,31.11,0.0,5000.0
2012-04-25,35.0,0.0,5000.0
2012-04-26,34.99,0.0,5000.0
2012-04-27,31.0,50.0,5000.0
2012-04-28,31.0,6.666666666666666,5000.0
2012-05-02,27.99,12.0,5000.0
2012-05-03,29.8,0.0,5000.0
2012-05-04,20.02,70.37037037037038,5000.0
2012-05-05,22.0,8.666666666666668,5000.0
2012-05-07,23.69,10.588235294117649,5000.0
2012-05-08,22.98,10.0,5000.0
2012-05-10,23.68,30.90909090909091,5000.0
2012-05-11,24.0,8.888888888888891,5000.0
2012-05-12,22.5,0.0,5000.0
2012-05-14,31.5,70.11494252873564,5000.0
2012-05-15,36.51,8.214285714285714,5000.0
2012-05-16,36.54,6.153846153846153,5000.0
2012-05-17,31.5,3.333333333333333,5000.0
2012-05-18,27.06,3.333333333333333,5000.0
2012-05-21,28.5,15.0,5000.0
2012-05-22,37.99,11.333333333333332,5000.0
2012-05-23,31.28,6.666666666666666,5000.0
2012-05-24,29.96,0.0,5000.0
2012-05-25,28.17,10.0,5000.0
2012-05-28,29.98,0.0,5000.0
2012-05-29,30.0,0.0,5000.0
2012-05-30,29.36,0.0,5000.0
2012-05-31,28.99,66.66666666666666,5000.0
2012-06-01,28.77,10.0,5000.0
2012-06-04,28.74,0.0,5000.0
2012-06-05,28.79,0.0,5000.0
2012-06-06,28.44,0.0,5000.0
2012-06-07,27.27,33.33333333333333,5000.0
2012-06-08,26.98,16.666666666666668,5000.0
